231,258
467,248
341,389
356,176
65,451
405,211
148,449
165,181
257,477
173,491
117,361
317,414
479,65
65,449
241,35
196,35
122,122
173,433
302,318
452,176
173,107
500,389
257,335
117,211
302,233
500,136
317,181
341,211
51,149
77,124
75,82
148,414
389,233
467,136
463,242
317,450
65,314
214,122
332,474
21,249
114,395
431,176
241,361
500,33
389,412
223,439
167,395
173,433
257,149
500,160
232,248
196,294
479,258
165,311
209,449
209,136
214,82
463,389
122,115
300,361
214,242
173,389
75,160
479,455
223,249
365,469
65,248
20,387
361,491
85,42
20,160
479,314
241,258
455,311
452,310
196,242
344,122
344,233
82,455
332,314
317,35
341,467
165,318
167,82
232,388
344,294
356,124
247,387
389,149
197,249
317,124
257,42
173,359
20,33
165,451
197,210
85,35
75,211
196,451
173,450
65,210
500,211
136,395
209,359
173,388
20,450
455,389
20,181
257,249
43,310
247,248
405,412
361,181
165,450
167,225
463,225
389,449
467,469
292,387
463,314
214,122
405,242
167,115
82,211
356,107
431,176
405,433
241,115
231,35
231,388
82,389
500,467
231,33
389,42
247,318
51,258
65,387
114,210
479,181
344,211
21,359
292,433
361,451
173,33
241,467
20,335
136,35
405,439
214,233
195,449
75,359
500,439
165,474
317,82
75,389
455,477
344,294
294,242
452,294
82,65
197,250
223,233
223,65
85,42
148,439
232,82
455,361
452,474
294,181
389,361
463,176
241,469
292,65
195,412
75,359
209,395
294,160
65,149
114,249
75,176
361,477
356,160
467,389
292,361
232,82
82,225
479,33
148,314
463,124
356,122
361,361
85,42
21,474
197,310
231,388
