8,98,97
43,14,17
19,94,52
81,81,65
59,99,7
10,94,72
81,78,82
69,90,71
59,79,57
8,99,62
29,47,6
99,93,94
29,11,5
97,52,56
81,15,15
81,67,67
39,35,55
83,13,14
98,99,90
8,100,61
83,67,6
98,22,24
98,90,112
34,86,107
43,55,24
81,97,52
82,47,74
69,59,74
65,65,6
39,26,5
82,44,72
79,66,75
98,67,34
85,97,82
29,35,14
29,84,27
59,26,22
99,84,74
95,77,108
39,86,114
43,99,103
80,76,56
41,77,65
25,97,47
42,26,21
94,34,44
90,90,96
34,69,8
97,77,68
66,11,65
79,66,56
66,14,21
89,94,67
87,78,107
79,94,26
65,94,74
29,77,67
81,70,27
87,67,22
85,74,78
97,98,107
31,61,27
87,18,6
