90024,8,2596
90024,23,84
90024,80,47
90024,99,064
90024,8,4049
90024,96,923
90024,55,75
90024,84,4423
90024,92,3802
90024,13,537
90024,7,1599
90024,57,8149
90024,24,5459
90024,47,8235
90024,92,5550
90024,63,68
90024,43,2596
90024,13,5609
90024,24,4364
90024,44,4299
90024,49,82
90024,40,5737
90024,55,74
90024,25,5196
90024,94,7262
90024,45,96
90024,80,8639
90024,55,1514
90024,15,47
90024,25,8930
90024,81,8902
90024,47,92
90024,47,78
90024,23,74641
90024,13,66
90024,0,4500
90024,86,4080
90024,25,8098
90024,5,8910
90024,39,3898
90024,55,5580
90024,45,022
90024,26,4580
90024,55,1480
90024,43,7847
90024,84,9246
90024,45,6663
90024,80,2402
90024,24,6623
