653,18.42853,-66.03803,Rincon,PR,Puerto Rico,TRUE,,44904,269.9,72117,Rincón,,Rincón,44904,269.
802,18.22365,-65.81382,St Thomas,VI,Virgin Islands,TRUE,,,,78030,St. Thomas,,St. Thomas,78030,FALSE,,,,St. Thomas,78030,F
961,18.41046,-66.11394,Guaynabo,PR,Puerto Rico,TRUE,,36116,2946.3,72061,Guaynabo,,Guaynabo,,Guaynabo
616,18.31387,-66.70695,Villalba,PR,Puerto Rico,TRUE,,30652,513.8,72021,Villalba,,Villalba,,Villalba,,Vill
653,18.41904,-67.12243,Vieques,PR,Puerto Rico,TRUE,,32735,258.7,72113,Vieques,,Vieques,,Vieques,,V
670,18.34073,-66.12225,Bayamon,PR,Puerto Rico,TRUE,,17831,2924.3,72021,Bayamón,,Bayamón,,Bayamón,,Bay
960,18.00697,-66.90377,Fort Buchanan,PR,Puerto Rico,TRUE,,15115,5565.9,72149,Fort Buchanan,,Fort Buchanan,PR,Puerto Rico,
951,18.1294,-66.03715,San Sebastian,PR,Puerto Rico,TRUE,,14963,72127,San Sebastián,,San Sebastián,,San Sebastián,72
913,18.45024,-66.84717,Bayamon,PR,Puerto Rico,TRUE,,34449,663.3,72021,Bayamón,,Bayamón,,Bayamón,
769,18.24739,-66.97518,Patillas,PR,Puerto Rico,TRUE,,7641,121.8,72123,Patillas,,Patillas,,Patillas,PR,Pu
751,18.41905,-66.97518,San Juan,PR,Puerto Rico,TRUE,,11593,275.7,72127,San Juan,,San Juan,,San Juan,,San Juan,,San Juan
685,18.1294,-65.99143,Carolina,PR,Puerto Rico,TRUE,,31066,2922.1,72021,Carolina,,Carolina,,Carolina,,Carolina,,Car
913,18.03139,-66.22881,Guaynabo,PR,Puerto Rico,TRUE,,20387,408.5,72061,Guaynabo,,Guaynabo,,Guaynabo
720,17.7388,-66.79691,Toa Baja,PR,Puerto Rico,TRUE,,6505,536.8,72131,Toa Baja,,Dorado,72009,
670,18.40609,-66.01122,Arroyo,PR,Puerto Rico,TRUE,,30652,304.9,72013,Arroyo,,Arroyo,PR,Puerto
730,18.22052,-66.99104,Ponce,PR,Puerto Rico,TRUE,,21031,54.6,72113,Ponce,,Ponce,,Ponce,,Puerto Rico,,
646,18.41904,-66.07274,Aguas Buenas,PR,Puerto Rico,TRUE,,36696,408.9,72005,Aguas Buenas,,Aguas
802,18.36319,-66.05734,Utuado,PR,Puerto Rico,TRUE,,39561,131.6,72141,Utuado,,Utuado,72081,Ut
720,18.40609,-66.89618,Utuado,PR,Puerto Rico,TRUE,,79395,1785.3,72143,Utuado,,Utuado,,Utuado,,
920,18.34691,-66.23771,Rincon,PR,Puerto Rico,TRUE,,26433,121.4,72137,Rincón,,Rincón,,Rincón,,R
923,18.36696,-66.15583,Bayamon,PR,Puerto Rico,TRUE,,17310,80.5,72021,Bayamón,,Bayamón,,Bayamón,PR
960,18.45024,-66.16307,Lares,PR,Puerto Rico,TRUE,,60554,5806.9,72095,Lares,,Lares,,Lares,,Lares,,L
920,18.34073,-66.16198,Utuado,PR,Puerto Rico,TRUE,,70652,513.7,72091,Utuado,,Utuado,Utuado,,Ut
692,18.40961,-66.66793,Loiza,PR,Puerto Rico,TRUE,,24022,255.6,72097,Loíza,,Loíza,,Loíza,,Lo
906,18.38884,-66.11394,Guaynabo,PR,Puerto Rico,TRUE,,30652,431.9,72037,Guaynabo,,Guaynabo,PR,Pu
795,18.41788,-66.70695,Manati,PR,Puerto Rico,TRUE,,45773,298,72071,Manatí,,Manatí,,Manatí,,Manatí,,
711,18.34349,-66.0871,Kingshill,VI,Virgin Islands,TRUE,,,,78010,St. Croix,,St. Croix,78010,FALSE,,,,St. Croix,78
923,18.39987,-66.61384,Manati,PR,Puerto Rico,TRUE,,23771,255.8,72113,Manatí,,Manatí,,Manatí,,Man
782,18.41372,-64.90377,Fajardo,PR,Puerto Rico,TRUE,,35622,208.5,72051,Fajardo,,Fajardo,,Fajardo,,F
690,18.3807,-67.70695,Morovis,PR,Puerto Rico,TRUE,,39580,5806.9,72043,Morovis,,Morovis,,Morovis,,
731,18.43503,-66.14994,Coto Laurel,PR,Puerto Rico,TRUE,,16139,369.2,72031,Coto Laurel,,Coto Laurel,PR,Pu
906,18.03139,-66.0871,San Juan,PR,Puerto Rico,TRUE,,26383,131.8,72127,San Juan,,San Juan,,San Juan,,San Juan,,San
983,18.42949,-66.06774,San Lorenzo,PR,Puerto Rico,TRUE,,5708,194,72127,San Lorenzo,,San Lorenzo,,San Lorenzo,,San Lorenzo,72127
751,18.43251,-66.10123,Juncos,PR,Puerto Rico,TRUE,,46690,327.7,72087,Juncos,,Juncos,,Juncos,,Juncos,,Juncos
795,18.40987,-66.04275,La Plata,PR,Puerto Rico,TRUE,,6231,383.8,72055,La Plata,,La Plata,,La Plata,72
