dlvry82747,cust99574,vend39660,6
dlvry30478,cust10133,vend54076,6
dlvry22388,cust51012,vend7609,6
dlvry62456,cust81713,vend67768,6
dlvry3746,cust25894,vend17133,6
dlvry96424,cust2434,vend65216,6
dlvry5885,cust71366,vend62990,6
dlvry44185,cust56927,vend38185,6
dlvry82336,cust43124,vend24031,6
dlvry59551,cust92305,vend23742,6
dlvry67271,cust71925,vend72448,6
dlvry13202,cust41238,vend13409,6
dlvry45448,cust93681,vend89133,6
dlvry6026,cust6026,vend81777,6
dlvry60394,cust45759,vend63988,6
dlvry38496,cust68904,vend49767,6
dlvry23674,cust290,vend10576,6
dlvry98510,cust90771,vend56816,6
dlvry83543,cust79168,vend3294,6
dlvry89796,cust47704,vend93628,6
dlvry93787,cust79168,vend77399,6
dlvry84120,cust1703,vend26551,6
dlvry44212,cust51098,vend95771,6
dlvry2280,cust29234,vend96984,6
dlvry96355,cust57458,vend80598,6
dlvry17211,cust20661,vend80586,6
dlvry91933,cust82735,vend9594947,6
dlvry63860,cust45359,vend93631,6
dlvry47415,cust51322,vend89529,6
dlvry63681,cust21925,vend97684,6
dlvry7026,cust1640,vend1606,6
dlvry23506,cust69848,vend99071,6
