dlvry96313,cust6545,vend36307,6
dlvry2219,cust32977,vend69605,6
dlvry47609,cust51322,vend98435,6
dlvry73961,cust69477,vend20468,6
dlvry1361,cust46071,vend90659,6
dlvry49607,cust51049,vend51886,6
dlvry50274,cust8670,vend13884,6
dlvry95887,cust48166,vend17144,6
dlvry96787,cust79168,vend83899,6
dlvry78694,cust85860,vend86100,6
dlvry69680,cust48424,vend68567,6
dlvry80997,cust12082,vend64647,6
dlvry66962,cust83906,vend5513,6
dlvry38561,cust64553,vend20231,6
dlvry14559,cust69330,vend69330,6
dlvry49672,cust51012,vend18527,6
dlvry70355,cust1640,vend98939,6
dlvry89798,cust40456,vend86100,6
dlvry67207,cust77628,vend7232,6
dlvry43170,cust5253,vend5253,6
dlvry60294,cust50962,vend98903,6
dlvry86562,cust47961,vend8125,6
dlvry43443,cust78854,vend979,6
dlvry68669,cust45653,vend4394,6
dlvry52746,cust32946,vend52752,6
dlvry18488,cust19247,vend76663,6
dlvry60900,cust66695,vend3294,6
dlvry30207,cust61524,vend95681,6
dlvry39803,cust62452,vend62416,6
dlvry22119,cust39320,vend59042,6
dlvry82871,cust82775,vend19990,6
dlvry66752,cust36614,vend29592,6
dlvry94415,cust54963,vend63876,6
dlvry68015,cust85610,vend14795,6
dlvry2212,cust49208,vend85802,6
dlvry80475,cust59395,vend63828,6
dlvry78496,cust64346,vend14008,6
dlvry83860,cust45759,vend55821,6
dlvry15205,cust61556,vend30223,6
dlvry89878,cust59102,vend76006,6
dlvry68351,cust39027,vend14107,6
dlvry23498,cust60172,vend62990,6
dlvry82761,cust30968,vend95949,6
dlvry92871,cust59102,vend26378,6
dlvry93800,cust23700,vend86206,6
dlvry78289,cust83390,vend17297,6
dlvry58863,cust71777,vend54,6
dlvry88476,cust71205,vend71205,6
dlvry58447,cust64346,vend78064,6
dlvry49630,cust46848,vend98998,6
dlvry84678,cust17123,vend38279,6
dlvry89310,cust80334,vend86100,6
dlvry93799,cust56449,vend4497,6
dlvry69668,cust61173,vend93639,6
dlvry70375,cust93902,vend54679,6
dlvry59395,cust70401,vend23611,6
dlvry13761,cust66746,vend43860,6
dlvry63210,cust20351,vend24885,6
dlvry18332,cust99272,vend94535,6
dlvry63780,cust82337,vend59817,6
dlvry64247,cust51590,vend51538,6
dlvry64250,cust43547,vend95329,6
dlvry62459,cust26020,vend53243,6
dlvry67270,cust83801,vend19003,6
dlvry63645,cust36307,vend29576,6
dlvry91937,cust22371,vend94515,6
dlvry63364,cust50122,vend36587,6
dlvry88120,cust48007,vend51975,6
dlvry6663,cust18474,vend38495,6
dlvry12166,cust63012,vend54196,6
dlvry11144,cust93645,vend61366,6
dlvry93801,cust60824,vend60676,6
dlvry70600,cust90860,vend60441,6
dlvry3020,cust61085,vend61085,6
dlvry70650,cust70598,vend57057,6
dlvry68351,cust6663,vend28353,6
dlvry80224,cust6679,vend73476,6
dlvry98510,cust15990,vend60828,6
